u274100,26905
u275822,30147
u268069,14242
u275821,30918
u275351,16629
u275351,16603
u275353,47718
u275353,58578
u258633,52567
u258634,8848
u274457,4142
u272649,62973
u272649,14959
u272649,61467
u272643,32469
u272643,7402
u272642,17033
u274197,11107
u272647,56396
u272645,5232
u274192,58182
u274774,3868
u274777,597
u273179,51940
u273179,28054
u274771,12066
u274770,37026
u274772,26208
u274779,58352
u273174,46114
u273174,2458
u266543,14246
u274176,16631
u274172,58341
u273375,46098
u273375,60268
u274179,31916
u275989,23159
u261155,30048
u264430,13415
u264430,57588
u275910,42010
u275910,7646
u273770,44251
u275827,29362
u272824,9458
u272824,5707
u270348,56544
u263806,9807
u263802,1481
u273516,16630
u263800,31657
u270086,25637
u270082,5445
u270241,29594
u270241,33168
u272915,16614
u270249,36374
u269743,23159
u269083,5380
u271933,31916
u269739,57233
u271937,21523
u266056,45960
u266056,35468
u266501,5641
u266501,26862
u266503,58638
u266503,40990
u266502,30852
u257343,31917
u257343,53310
u273206,37547
u273196,62559
u273199,41300
u273199,2887
u269400,46092
u269426,36762
u273883,9749
u269886,30879
u269886,14438
u266618,26969
u276104,9724
u272139,53316
u272139,61946
u276103,27750
u276103,45324
u261413,33449
u263624,12984
u263624,20440
u263624,46865
u263623,30913
u274984,57547
u274984,17860
u274988,60831
u262765,33597
u276580,57373
u266299,38219
u271597,21505
u271535,35819
u269953,30514
u267679,21468
u274194,19373
u271845,58956
u271531,34927
u276039,30915
u276032,26028
u276033,19905
u263561,17199
u267271,25454
u267277,58909
u257898,58182
u272344,40145
u272342,24562
u267010,57423
u272348,28063
u276324,33464
u271447,62429
u271441,23164
u266878,24097
u263499,50893
u263499,35629
u264110,16603
u264112,32846
u264112,28321
u264116,10754
u264116,17036
u270646,12058
u259194,25719
u268873,52604
u267490,51082
u267490,60908
u268874,15620
u268879,16804
u265001,27418
u275743,9868
u275743,39641
u275743,39627
u274618,57539
u275216,11023
u275213,45166
u275213,45161
u275744,5309
u268613,4156
u268613,12951
u268612,7841
u274610,56732
u274610,35087
u268093,57550
u268093,54430
u268616,4251
u274342,16558
u274342,15621
u274615,21491
u274615,29060
u275586,40065
u275580,10502
u275583,57100
u271054,62176
u271054,17041
u268581,33542
u268581,23930
u275589,16612
u275589,16610
u275589,16615
u268586,9783
u260549,57719
u271695,41007
u258021,45607
u271692,51182
u271698,15626
u264935,56094
u264935,1239
u268904,43969
u268904,62939
u268904,45794
u259510,16613
u268900,24119
u274508,25626
u267803,46306
u275360,13122
u257068,59677
u270475,31083
u275365,36163
u275364,17529
u275364,10458
u275364,53257
u268291,17199
u268291,16819
u402054,62543
u275368,4557
u275368,4141
u264739,30180
u275695,751
u275695,24127
u275851,19063
u275696,30918
u275699,56681
u271362,46469
u271362,46467
u274188,23158
u274188,58344
u274189,33084
u272651,25423
u272651,25415
u272651,7367
u272653,45819
u274762,14232
u274761,11805
u274767,52781
u274767,16805
u263966,47634
u268852,17041
u274769,31082
u274769,53301
u275333,61670
u273698,4504
u273692,43561
u273692,46092
u265395,16052
