user: 5 feedback_type: ↓rock emotion: 
predict_value, song_id, pop, ballad, rock
user: 5 feedback_type: ↓rock emotion: 
predict_value, song_id, pop, ballad, rock
(0.037334133492692448, 42938L),0.12161,0.07099,0.1412
(0.036944338030309241, 37956L),0.12818,0.07505,0.14262
(0.036572122320612799, 15054L),0.12743,0.06435,0.14121
(0.03578394102527558, 1403L),0.12165,0.07208,0.14188
(0.035658688275969699, 31139L),0.14056,0.07359,0.14433
(0.035637959521416608, 39501L),0.1298,0.0768,0.13502
(0.035352918063045857, 25121L),0.12672,0.07636,0.1371
(0.035139667669690115, 37961L),0.13354,0.07979,0.13749
(0.035065078639623465, 22335L),0.11858,0.07237,0.1382
(0.034680150917487655, 14104L),0.10745,0.07533,0.13714

user: 5 feedback_type: ↓rock emotion: 
predict_value, song_id, pop, ballad, rock
(0.053229711140058297, 31139L),0.14056,0.07359,0.14433
(0.052719334920011587, 26206L),0.14665,0.07456,0.13844
(0.052616218537891078, 61544L),0.12902,0.0997,0.13122
(0.052569673184591423, 5885L),0.13953,0.12416,0.09882
(0.052539488983978311, 9311L),0.12782,0.12212,0.11316
(0.052429576176577453, 19834L),0.13318,0.10167,0.11535
(0.05217328263119294, 58920L),0.14906,0.08091,0.13689
(0.052052983153322956, 34050L),0.14974,0.09197,0.12524
(0.051989678141689206, 62001L),0.14333,0.08122,0.13656
(0.051880533007182553, 57332L),0.13456,0.07577,0.14255

user: 5 feedback_type: ↓rock emotion: 
predict_value, song_id, pop, ballad, rock
(0.042685276690116118, 37964L),0.12839,0.075,0.13898
(0.042581940015672087, 13519L),0.13695,0.08385,0.13536
(0.041871266639388359, 24435L),0.11749,0.07678,0.13732
(0.041743669757207523, 11733L),0.12536,0.07126,0.14602
(0.041739212360959482, 41392L),0.1307,0.07794,0.14185
(0.041463734981068437, 7333L),0.12481,0.07852,0.13903
(0.041410651908098624, 26245L),0.12108,0.07809,0.13691
(0.041338965959230617, 25121L),0.12672,0.07636,0.1371
(0.041338879778328286, 29312L),0.12458,0.08196,0.12914
(0.041297793521092883, 2270L),0.12756,0.08004,0.13999

user: 5 feedback_type: ↑ballad emotion: 
predict_value, song_id, pop, ballad, rock
(0.038588643258295433, 24435L),0.11749,0.07678,0.13732
(0.038247480829173862, 24447L),0.11409,0.08556,0.1342
(0.037738120792702418, 62713L),0.10959,0.12362,0.09896
(0.037712255135883208, 11243L),0.11734,0.13806,0.11104
(0.037541587350315847, 46179L),0.12781,0.08698,0.13431
(0.037521607335869914, 24439L),0.11972,0.07604,0.13694
(0.037365423690921787, 13519L),0.13695,0.08385,0.13536
(0.037214659802293319, 49431L),0.11589,0.1107,0.1111
(0.037120311474700199, 56642L),0.09672,0.16827,0.09005
(0.037057945394014052, 17700L),0.12157,0.13917,0.11038

user: 5 feedback_type: ↓rock emotion: 
predict_value, song_id, pop, ballad, rock
(0.041971442929001179, 11480L),0.14805,0.08751,0.12758
(0.041783008436901387, 32625L),0.14254,0.08246,0.13402
(0.041636931712542291, 43215L),0.1457,0.09867,0.12926
(0.041586383369027563, 7553L),0.12946,0.09299,0.13862
(0.041539731453875441, 26030L),0.14364,0.07686,0.13757
(0.041393535494006845, 41392L),0.1307,0.07794,0.14185
(0.041146140979101763, 57332L),0.13456,0.07577,0.14255
(0.041121861592946014, 55502L),0.14115,0.07523,0.14189
(0.041075273689218789, 18768L),0.13848,0.09622,0.13539
(0.041000443699676932, 34316L),0.12022,0.11443,0.11765

user: 5 feedback_type: ↑rock emotion: 
predict_value, song_id, pop, ballad, rock
(0.0019269125021683783, 42732L),0.13469,0.07185,0.13549
(0.0014468075326149752, 38694L),0.12246,0.0756,0.13861
(0.0010845088724535101, 35092L),0.12392,0.07115,0.14138
(0.00055558667613826544, 28794L),0.10719,0.07463,0.13646
(0.00034559814618395288, 23655L),0.12938,0.07639,0.14415
(-0.00025868690208075661, 41392L),0.1307,0.07794,0.14185
(-0.00042684901931656742, 48612L),0.12197,0.07287,0.14225
(-0.00071662152057291601, 25680L),0.12047,0.0728,0.13915
(-0.00080894521229525271, 62392L),0.1282,0.06705,0.14309
(-0.00084017620835505704, 37953L),0.10986,0.07384,0.1362

user: 5 feedback_type: ↓rock emotion: 
predict_value, song_id, pop, ballad, rock
(0.020064550962148705, 27286L),0.08076,0.18602,0.06657
(0.019981906398896777, 50965L),0.09717,0.17287,0.09446
(0.019615638137901632, 50030L),0.09871,0.12032,0.12405
(0.019408204404185454, 17787L),0.09316,0.16392,0.09519
(0.019362783535219835, 12378L),0.09048,0.17287,0.0895
(0.019258988618390809, 44717L),0.08902,0.15297,0.10041
(0.019199173674436604, 22085L),0.09231,0.17516,0.08848
(0.01917920683278735, 2342L),0.09872,0.11422,0.12448
(0.018824894055660932, 54596L),0.09654,0.12652,0.11366
(0.018788124261855429, 26237L),0.08327,0.15464,0.08056

user: 5 feedback_type: ↑ballad emotion: 
predict_value, song_id, pop, ballad, rock
(0.044647968023103932, 25600L),0.1163,0.11928,0.11709
(0.043859161208569808, 61000L),0.11631,0.11391,0.12419
(0.043332856120783705, 54592L),0.11113,0.1287,0.12095
(0.043108942168147459, 9698L),0.12996,0.12277,0.10635
(0.042743297522894658, 23186L),0.10376,0.17624,0.08504
(0.042135600886708542, 17924L),0.12378,0.11861,0.119
(0.042040821226346801, 47014L),0.12454,0.11746,0.11699
(0.04196594614503843, 4429L),0.11724,0.14443,0.10634
(0.041825739784720359, 24366L),0.11595,0.16992,0.09072
(0.041713501181383679, 31807L),0.12204,0.10927,0.11952

user: 5 feedback_type: ↑ballad emotion: 
predict_value, song_id, pop, ballad, rock
(0.052550325302737316, 5256L),0.10345,0.17479,0.07101
(0.051113555315495232, 25473L),0.10388,0.16829,0.06795
(0.050747616721059118, 56626L),0.1258,0.15985,0.08099
(0.050567428403599103, 56830L),0.13837,0.16191,0.07856
(0.05037619347694388, 45369L),0.12111,0.17015,0.0811
(0.050327685030634062, 24932L),0.12329,0.16214,0.07247
(0.050217271315990852, 41155L),0.11777,0.17963,0.07238
(0.049996813460313497, 24929L),0.11518,0.15907,0.07399
(0.04981404989584455, 21979L),0.12528,0.15254,0.08227
(0.049753429183602663, 13537L),0.11153,0.16671,0.06751

user: 5 feedback_type: ↑ballad emotion: 
predict_value, song_id, pop, ballad, rock
(0.063422990717472566, 39513L),0.15239,0.11996,0.0998
(0.062560024765708294, 40332L),0.14618,0.11826,0.10975
(0.062552518087010067, 29444L),0.13229,0.16655,0.07953
(0.062469944086291473, 5696L),0.1528,0.10858,0.12087
(0.062324111401243984, 27036L),0.14226,0.12633,0.11624
(0.062240501592440899, 34280L),0.14298,0.11504,0.12067
(0.062220941303382321, 16835L),0.13662,0.15599,0.08348
(0.062187770843339943, 22483L),0.15128,0.13839,0.09782
(0.062052449151086958, 36817L),0.15188,0.11625,0.11669
(0.06186452281638051, 59884L),0.1305,0.14831,0.09224

user: 5 feedback_type: ↑pop emotion: 
predict_value, song_id, pop, ballad, rock
(0.025825100498409248, 44660L),0.06087,0.16122,0.05117
(0.02582165725079779, 47504L),0.06088,0.1466,0.05583
(0.025538005529771222, 59711L),0.05467,0.15077,0.05644
(0.02525638513658934, 50012L),0.05493,0.14968,0.04552
(0.025216401581739684, 33733L),0.04888,0.15727,0.04503
(0.024881050155593946, 9363L),0.061,0.15891,0.04912
(0.024743465230034793, 38135L),0.0576,0.14816,0.05777
(0.024689286113395319, 20378L),0.04911,0.15902,0.0464
(0.024587132673782555, 25473L),0.06595,0.14203,0.04602
(0.024235772656711306, 10940L),0.05736,0.1437,0.06426

user: 5 feedback_type: ↑pop emotion: 
predict_value, song_id, pop, ballad, rock
(0.011120445340782307, 7333L),0.08345,0.05777,0.11336
(0.010831298571807965, 8459L),0.07802,0.06506,0.10498
(0.010136538584683084, 45243L),0.06706,0.04579,0.11529
(0.0098234787668204145, 46583L),0.07074,0.05267,0.11488
(0.0097893313346935212, 23659L),0.07879,0.04971,0.11324
(0.0091635014827246147, 38694L),0.08234,0.05523,0.11155
(0.0089936517884984541, 25682L),0.07332,0.04922,0.11453
(0.0089718809921273106, 6218L),0.07836,0.04846,0.11305
(0.0088919229793700781, 29312L),0.08514,0.06161,0.10462
(0.0088830434593435825, 29324L),0.07775,0.04577,0.1179

user: 5 feedback_type: ↓rock emotion: 
predict_value, song_id, pop, ballad, rock
(0.033320376032193372, 12378L),0.05098,0.14674,0.06798
(0.033081429460237212, 56642L),0.057,0.14185,0.06803
(0.032834708660956134, 24965L),0.06619,0.14866,0.06343
(0.032720861100585343, 34337L),0.06732,0.13839,0.07104
(0.032533820668893647, 45098L),0.0711,0.13347,0.06433
(0.032529496700776761, 50965L),0.0582,0.14822,0.07005
(0.03204227163375313, 43522L),0.05492,0.13483,0.07079
(0.031745889325007444, 43621L),0.05916,0.1368,0.06954
(0.031609587733934769, 24366L),0.07613,0.14247,0.06442
(0.031583383736448804, 61670L),0.05755,0.13815,0.07228

user: 5 feedback_type: ↑ballad emotion: 
predict_value, song_id, pop, ballad, rock
(0.043664601957044545, 57682L),0.0883,0.12607,0.06824
(0.04364647295890782, 24366L),0.07613,0.14247,0.06442
(0.043618753804891428, 8420L),0.08943,0.11531,0.06554
(0.04351965417928412, 29636L),0.07469,0.135,0.05884
(0.043365440226662069, 24929L),0.07791,0.13243,0.05061
(0.043334324354991016, 45390L),0.07723,0.13167,0.07453
(0.042994447568446108, 5317L),0.08497,0.12973,0.0633
(0.042888654899957149, 57572L),0.0785,0.14062,0.05825
(0.042886251812761698, 19653L),0.08341,0.13404,0.06552
(0.042800356302133934, 15029L),0.07101,0.14999,0.05738

user: 5 feedback_type: ↑ballad emotion: 
predict_value, song_id, pop, ballad, rock
(0.048569665863851003, 24854L),0.07991,0.14547,0.04565
(0.047978231914069802, 13637L),0.07697,0.14736,0.04512
(0.047968263762251516, 49777L),0.09366,0.12906,0.05242
(0.047844568152932296, 8561L),0.07582,0.15531,0.04364
(0.047372011009608077, 56786L),0.07523,0.14922,0.04641
(0.047288898440109479, 9364L),0.08939,0.13722,0.04963
(0.047035976804994918, 53398L),0.08331,0.14628,0.04354
(0.04700855068291681, 35573L),0.07859,0.14373,0.04863
(0.046965263435023018, 41375L),0.06799,0.1578,0.04146
(0.046668916272265895, 55243L),0.07804,0.13933,0.05279

