user: 5 feedback_type:1 emotions: confident,aggressive,

user: 5 feedback_type:-1 emotions: ambitious,aggressive,
(0.057555608250642737, 37825L),0.14718,0.13961,0.08791
(0.057466658494439306, 16791L),0.15878,0.10627,0.11403
(0.057361240279042706, 24622L),0.15194,0.10058,0.12767
(0.057283104033120182, 51764L),0.15522,0.10211,0.12077
(0.057092197677514223, 44829L),0.14468,0.11827,0.11705
(0.05700327704106032, 25013L),0.15351,0.09572,0.12404

user: 5 feedback_type:-1 emotions: peaceful,lively,cheerful,
(-0.68758702622505974, 16220L),0.09016,0.07642,0.12773
(-0.69540651940826137, 52837L),0.08965,0.09025,0.11312
(-0.69814581137189491, 50947L),0.10365,0.0684,0.129
(-0.70194416208403521, 36123L),0.10149,0.06434,0.14038
(-0.70216963264188659, 16236L),0.09441,0.07425,0.12818
(-0.70365191015639139, 18496L),0.09759,0.08434,0.12293
(-0.70407601604733638, 11764L),0.09831,0.06929,0.13457
(-0.70633055278411483, 62743L),0.09674,0.07243,0.13234
(-0.70758671045910515, 29327L),0.09827,0.06897,0.13156
(-0.70805154204386356, 28783L),0.10681,0.06278,0.13851

user: 5 feedback_type:-1 emotions: peaceful,lively,cheerful,
(-0.91607026272996661, 62427L),0.09144,0.16438,0.06544
(-0.91685825619205952, 27194L),0.07911,0.18106,0.0614
(-0.91826535501122308, 49341L),0.08608,0.15246,0.07236
(-0.91931578025730143, 39109L),0.07946,0.17605,0.06282
(-0.92075611520591161, 20285L),0.0936,0.17065,0.06166
(-0.9213911118030581, 61257L),0.08113,0.18343,0.06156
(-0.9214054057591784, 24132L),0.08558,0.17287,0.06424
(-0.9214572890139634, 55652L),0.08924,0.1363,0.07738
(-0.92338977617966456, 36029L),0.083,0.17103,0.06628
(-0.92410282979843239, 38217L),0.0964,0.16477,0.06516

user: 5 feedback_type:-1 emotions: peaceful,lively,cheerful,
(-0.94897786756203539, 2608L),0.10804,0.106,0.08863
(-0.95254858491821515, 11397L),0.10685,0.11663,0.08287
(-0.95390545960424722, 20285L),0.0936,0.17065,0.06166
(-0.95426207816518294, 38217L),0.0964,0.16477,0.06516
(-0.95431380428871604, 55652L),0.08924,0.1363,0.07738
(-0.95504272942497548, 49341L),0.08608,0.15246,0.07236
(-0.95547561416004645, 35452L),0.10676,0.13653,0.07163
(-0.95616862508302236, 27194L),0.07911,0.18106,0.0614
(-0.95658286417216243, 34765L),0.11017,0.12205,0.08059
(-0.95780366878569256, 24132L),0.08558,0.17287,0.06424

user: 5 feedback_type:1 emotions: peaceful,lively,cheerful,
