u268548,2263
u275214,37082
u275214,58553
u263616,15626
u275216,30730
u263643,29684
u273942,32984
u273942,32805
u273942,9807
u275226,31080
u263670,19917
u273951,12924
u268616,52824
u263690,3866
u268624,37760
u276457,45891
u273961,16592
u263702,12793
u263703,5612
u275925,62177
u263722,37018
u263722,14254
u256241,19049
u256256,63078
u256256,62267
u402035,57395
u271924,53924
u271928,27368
u276459,24562
u263742,29408
u263742,29404
u263742,29402
u268665,24797
u271935,59677
u271940,37286
u275240,31258
u271945,53296
u256334,16601
u256343,62157
u273985,9783
u268690,59042
u263797,53930
u263806,39441
u273992,25434
u263812,8815
u273996,17041
u273996,16052
u273996,27690
u271961,11856
u275249,53699
u275250,39638
u256403,2888
u271965,20440
u276269,36374
u276269,26113
u256424,23164
u268724,34360
u256436,21567
u256445,9833
u256445,19912
u275254,54202
u263859,46337
u263865,2422
u271993,17848
u268740,62253
u268740,17032
u274011,32805
u274012,43440
u272001,4561
u263900,12524
u268755,9220
u272020,52604
u272020,52587
u272026,42979
u275939,1244
u275942,16804
u274044,1252
u268790,15636
u268794,23168
u256635,60143
u268808,2934
u263987,51626
u275273,40982
u275273,61686
u274056,62484
u263997,4087
u263997,37743
u268822,49916
u268824,29208
u272056,52604
u268843,61691
u268843,21449
u264022,26794
u264022,54312
u275280,11844
u275282,27750
u275282,27750
u275282,50333
u268850,39515
u274064,57403
u256786,39641
u274067,54954
u272070,42885
u268869,51116
u275288,44243
u275293,58198
u274087,32696
u264132,12145
u256899,15521
u274090,34165
u274096,46463
u275299,12099
u268954,16614
u264188,4263
u268966,14632
u275957,45610
u275957,49217
u275303,13427
u268970,61667
u274110,46421
u264242,62453
u257087,14244
u272131,31082
u269000,57390
u272139,31515
u269004,52607
u272147,12629
u275315,9894
u274130,58553
u274131,33364
u264309,53373
u269017,13357
u269022,57395
u272151,31075
u274138,28931
u272156,31656
u275321,14245
u275321,44963
u269037,52767
u269038,52604
u269038,36315
u276287,46937
u274144,53537
u272169,46221
u269054,42900
u269063,24127
u275327,16614
u274155,30837
u274159,58944
u274160,47441
u264410,16615
u264411,10746
u264411,16926
u269097,43172
u275972,28985
u257340,62967
u257340,9792
u272205,31916
u269120,25962
u269127,56201
u274179,23158
u274183,19912
u272222,16603
u269144,18366
u264490,31925
u272229,17474
u257448,45113
u275338,10218
u275340,62289
u269152,59048
u272236,14264
u272236,3875
u274202,23035
u274204,32984
u264563,12076
u257547,26958
u257553,59544
u269196,50417
u276296,10450
u274220,33151
u257592,55151
u274221,26433
u264613,28654
u274227,23175
u257638,1476
u276299,53311
u276299,25510
u274239,51898
u275358,22813
u272311,17041
u269257,14324
u257684,16575
u257684,26965
u272319,56425
u264699,18377
u269271,61670
u274247,52598
u264728,7648
u264728,59042
